tuid,source_segment,target_segment,domain
17,"Infective endocarditis (IE) is an infection caused by bacteria, or other infectious pathogens, that enter the bloodstream and cause inflammation in the heart tissues, often on a valve.","Инфекционный эндокардит представляет собой инфекцию, вызванную бактериями или другими инфекционными патогенами, которые попадают в кровоток и вызывают воспаление тканей сердца, часто на клапане.",Cardiology
18,"Although not the primary focus of this chapter, risk factors for CVD are also considered at a broad level, including not only traditional cardiometabolic risks but also emerging related risks, including mental illnesses, air pollution, and human immunodeficiency virus (HIV).","Хотя это не является основной темой главы, факторы риска сердечно-сосудистых заболеваний также рассматриваются на широком уровне, включая не только традиционные кардиометаболические риски, но и новые связанные риски, такие как психические заболевания, загрязнение воздуха и вирус иммунодефицита человека.",Cardiology
19,Elevated blood pressure is estimated to be the single largest contributor to the global burden of disease and global mortality.,"По оценкам, повышенное артериальное давление является крупнейшим отдельным фактором глобального бремени болезней и глобальной смертности.",Cardiology
20,Hyperglycemia and diabetes mellitus are significant contributors to CVD worldwide.,"Гипергликемия и сахарный диабет являются значимыми факторами, способствующими развитию сердечно-сосудистых заболеваний во всём мире.",Cardiology
21,Health care is a complex multidimensional phenomenon with a myriad of factors influencing both the delivery and quality of care provided.,"Медицинская помощь представляет собой сложное многомерное явление с множеством факторов, влияющих как на её предоставление, так и на качество оказываемой помощи.",Cardiology
22,The following sections highlight the two most common approaches for performing QA/quality improvement (QI) initiatives.,В следующих разделах освещаются два наиболее распространённых подхода к проведению инициатив по обеспечению и улучшению качества.,Cardiology
23,Clinical practice guidelines are written in the spirit of suggesting diagnostic or therapeutic interventions that appear to be effective (or not) for patients in most circumstances.,"Клинические рекомендации составляются с целью предлагать диагностические или терапевтические вмешательства, которые кажутся эффективными или неэффективными для пациентов в большинстве обстоятельств.",Cardiology
24,"These efforts include the development of data standards, evidence-based clinical guidelines, performance measures, and appropriate use criteria (AUC).","Эти усилия включают разработку стандартов данных, клинических рекомендаций на основе доказательств, показателей эффективности и критериев надлежащего применения.",Cardiology
25,"These efforts include the development of data standards, evidence-based clinical guidelines, performance measures, and appropriate use criteria (AUC).","Эти усилия включают разработку стандартов данных, клинических рекомендаций на основе доказательств, показателей эффективности и критериев надлежащего применения.",Cardiology
26,"In the following sections, we provide an overview of three such tools—clinical guidelines, performance measures, and appropriate use criteria—developed and promoted for QA/QI initiatives.","В следующих разделах мы представляем обзор трёх таких инструментов — клинических рекомендаций, показателей эффективности и критериев надлежащего применения, разработанных и продвигаемых для инициатив по обеспечению и улучшению качества.",Cardiology
27,"When substantial randomized clinical trial data are lacking, smaller clinical trials or expert panel consensus are used to recommend clinical care in specific circumstances.","Когда отсутствуют существенные данные рандомизированных клинических исследований, для рекомендаций по клинической помощи в определённых обстоятельствах используются небольшие клинические исследования или консенсус экспертной группы.",Cardiology
28,"However, organizations such as the Centers for Medicare & Medicaid Services, the Joint Commission, the National Quality Forum, the National Committee for Quality Assurance, and the Ambulatory Quality Care Alliance play key roles in either developing performance measures or adjudicating their value for national QI efforts.","Однако такие организации, как Centers for Medicare & Medicaid Services, Joint Commission, National Quality Forum, National Committee for Quality Assurance и Ambulatory Quality Care Alliance, играют ключевую роль в разработке показателей эффективности или оценке их значения для национальных инициатив по улучшению качества.",Cardiology
29,"Outcome refers to tangible measures that capture the consequences of care and range from manifestations of disease progression (eg, mortality and hospitalizations) to patient-centered outcomes of health status and treatment satisfaction.","Результат относится к измеримым показателям, отражающим последствия медицинской помощи, от проявлений прогрессирования болезни до ориентированных на пациента результатов, таких как состояние здоровья и удовлетворённость лечением.",Cardiology
30,Enhanced support for shared decision making reduced costs of care for patients with preference-sensitive conditions.,"Расширенная поддержка совместного принятия решений снизила затраты на медицинскую помощь для пациентов с состояниями, чувствительными к предпочтениям.",Cardiology
31,In the floor of the right atrium is the orifice of the inferior vena cava (IVC).,В дне правого предсердия находится отверстие нижней полой вены.,Cardiology
32,The pulmonary veins (PulV) enter the posterior aspect of the left atrium.,Лёгочные вены входят в заднюю часть левого предсердия.,Cardiology
33,The anterior tricuspid leaflet is the largest and most mobile and forms an intracavitary curtain that partially separates the inflow and outflow tracts of the right ventricle (Fig. 4–23).,"Передняя створка трёхстворчатого клапана является самой крупной и подвижной и образует внутриполостную перегородку, частично разделяющую входной и выходной тракты правого желудочка.",Cardiology
34,The long-axis two-chamber method (Fig. 4–14) involves bisecting the heart from the left ventricular apex through the mitral orifice and into the left atrium.,Двухкамерный метод по длинной оси включает рассечение сердца от верхушки левого желудочка через митральное отверстие до левого предсердия.,Cardiology
35,"The tricuspid valve is comprised of five components (ie, annulus, leaflets, commissures, chordae tendineae, and papillary muscles).","Трёхстворчатый клапан состоит из пяти компонентов: кольца, створок, комиссур, сухожильных хорд и сосочковых мышц.",Cardiology
36,Abnormalities of the mitral valve apparatus can involve any of these components or combinations thereof.,Аномалии аппарата митрального клапана могут затрагивать любой из этих компонентов или их сочетания.,Cardiology
37,"The centrally located aortic valve forms the cornerstone of the cardiac skeleton, and its fibrous extensions abut each of the other three valves.","Центрально расположенный аортальный клапан образует основу фиброзного скелета сердца, а его фиброзные продолжения прилежат к каждому из трёх других клапанов.",Cardiology
38,A prominent arch-shaped muscular ridge known as the crista supraventricularis separates the tricuspid and pulmonary valves.,"Выраженный дугообразный мышечный гребень, известный как наджелудочковый гребень, разделяет трёхстворчатый клапан и клапан лёгочной артерии.",Cardiology
39,"Beneath the two mitral commissures lie the anterolateral and posteromedial papillary muscles, which arise from the left ventricular free wall (see Figs. 4–18B and 4–25).","Под двумя митральными комиссурами расположены переднелатеральная и заднемедиальная сосочковые мышцы, которые отходят от свободной стенки левого желудочка.",Cardiology
40,Chordae tendineae progressively arborize from their anchoring point on the papillary muscle to their ultimate insertion on the free edge (so-called primary chords) and the rough zone (so-called secondary chords).,Сухожильные хорды постепенно ветвятся от точки прикрепления на сосочковой мышце до конечного места прикрепления у свободного края (так называемые первичные хорды) и шероховатой зоны (так называемые вторичные хорды).,Cardiology
41,"The cardiac cycle describes pressure, volume, and flow phenomena in the ventricles as a function of time.","Сердечный цикл описывает изменения давления, объёма и кровотока в желудочках во времени.",Cardiology
42,Contraction (systole) begins after an approximately 50-ms delay and results in closure of the mitral valve.,Сокращение (систола) начинается после задержки примерно в 50 мс и приводит к закрытию митрального клапана.,Cardiology
43,"Diastole is the summation of processes by which the heart keeps latent its ability to generate force and shorten, and returns to its precontractile state.","Диастола представляет собой совокупность процессов, благодаря которым сердце сохраняет способность развивать силу и укорачиваться, возвращаясь к своему предсократительному состоянию.",Cardiology
44,"Changes in cardiac output necessary to meet the metabolic needs of the tissues can be produced by changes in the stroke volume, heart rate, or both.","Изменения сердечного выброса, необходимые для удовлетворения метаболических потребностей тканей, могут быть достигнуты изменениями ударного объёма, частоты сердечных сокращений или обоих показателей.",Cardiology
45,"Cardiac output responds to changes in the oxygen requirements of tissues, for example, as occurs with exercise.","Сердечный выброс реагирует на изменения потребности тканей в кислороде, например возникающие при физической нагрузке.",Cardiology
46,"A fundamental property of striated muscle is that the strength of this isometric twitch is dependent on the initial resting muscle length, or preload (Fig. 5–10B).","Фундаментальным свойством поперечно-полосатой мышцы является то, что сила изометрического сокращения зависит от исходной длины покоя мышцы, или преднагрузки.",Cardiology
47,"Initial muscle length is determined by applying a preload; an additional load known as the afterload, affects muscle behavior after stimulation.","Исходная длина мышцы определяется применением преднагрузки; дополнительная нагрузка, известная как постнагрузка, влияет на поведение мышцы после стимуляции.",Cardiology
48,"Fundamental to cardiac muscle function are the relationships between force and muscle length, velocity of shortening, calcium, and heart rate.","Основу функции сердечной мышцы составляют взаимосвязи между силой и длиной мышцы, скоростью укорочения, кальцием и частотой сердечных сокращений.",Cardiology
49,The ascending limb of the length–tension relationship (equivalent to the Frank-Starling relationship that relates preload to cardiac performance) is also caused by a length-dependent increase in myofilament calcium sensitivity (Fig. 5–9A).,"Восходящая часть зависимости длина–напряжение, эквивалентная соотношению Франка—Старлинга, связывающему преднагрузку с работой сердца, также обусловлена зависимым от длины повышением чувствительности миофиламентов к кальцию.",Cardiology
50,"The baroreflex system operates as an open loop with negative feedback and cushions changes in arterial pressure, such as those produced by changes in posture.","Барорефлекторная система работает как разомкнутый контур с отрицательной обратной связью и смягчает изменения артериального давления, например вызванные изменением положения тела.",Cardiology
51,Activation of cardiac β-adrenergic receptors (ARs) represents a powerful system to increase cardiac contractility and heart rate.,Активация β-адренергических рецепторов сердца представляет собой мощную систему повышения сократимости сердца и частоты сердечных сокращений.,Cardiology
52,"These events lead to rapid (within seconds) changes of the cardiomyocyte calcium transient and enhanced myofilament sensitivity for calcium, resulting in potent inotropic effects.","Эти события приводят к быстрым, происходящим в течение секунд, изменениям кальциевого транзиента кардиомиоцита и повышению чувствительности миофиламентов к кальцию, что вызывает выраженные инотропные эффекты.",Cardiology
53,The Ca2+ pumping activity of SERCA2a is negatively regulated by phospholamban.,Насосная активность SERCA2a по перекачиванию Ca2+ отрицательно регулируется фосфоламбаном.,Cardiology
54,"This includes phospholamban, the L-type Ca-channel, the ryanodine receptor, troponin T and I, myosinbinding protein C, and the small protein phosphatase inhibitor-1.5","К ним относятся фосфоламбан, L-тип кальциевого канала, рианодиновый рецептор, тропонин T и I, миозин-связывающий белок C и малый белок-ингибитор протеинфосфатазы-1.",Cardiology
55,"T-tubules invaginate the plasma membrane, rendering L-type Ca2+ channels in close proximity to the Ca2+ release channels, known as ryanodine receptors (RyRs).","Т-трубочки инвагинируют плазматическую мембрану, приближая L-тип каналы Ca2+ к каналам высвобождения Ca2+, известным как рианодиновые рецепторы.",Cardiology
56,Relaxation occurs when calcium detaches from troponin C and is sequestered back into the SR by the cardiac isoform of the Ca2+ ATPase pump (sarcoplasmic reticulum Ca2+-ATPase [SERCA2a]) or extruded extracellularly by the sarcolemmal Na+/Ca2+ exchanger (NCX) (see Fig. 6–2).,"Расслабление происходит, когда кальций отделяется от тропонина C и снова захватывается в саркоплазматический ретикулум сердечной изоформой Ca2+-АТФазного насоса (Ca2+-АТФаза саркоплазматического ретикулума [SERCA2a]) или выводится во внеклеточную среду сарколеммальным обменником Na+/Ca2+ (NCX).",Cardiology
57,"This includes phospholamban, the L-type Ca-channel, the ryanodine receptor, troponin T and I, myosinbinding protein C, and the small protein phosphatase inhibitor-1.5","К ним относятся фосфоламбан, L-тип кальциевого канала, рианодиновый рецептор, тропонин T и I, миозин-связывающий белок C и малый белок-ингибитор протеинфосфатазы-1.",Cardiology
58,"When the cytosolic Ca2+ is low, the tropomyosin-troponin complex is positioned in such a way that the myosin heads cannot interact with actin.","Когда цитозольный Ca2+ находится на низком уровне, комплекс тропомиозин–тропонин расположен так, что головки миозина не могут взаимодействовать с актином.",Cardiology
59,Apoptosis is a genetically programmed and energyrequiring series of events that permits the cell to die without inducing an inflammatory response.,"Апоптоз представляет собой генетически запрограммированную и требующую энергии последовательность событий, позволяющую клетке погибать без вызова воспалительной реакции.",Cardiology
60,Autophagy is another protein quality control system that is involved in a bulk degradation of long-lived proteins and aggregated proteins.,"Аутофагия является ещё одной системой контроля качества белков, участвующей в массовой деградации долгоживущих и агрегированных белков.",Cardiology
61,"Not surprisingly, endothelial cells are pivotal to maintaining vascular homeostasis, and multiple vascular diseases arise from endothelial dysfunction, including atherosclerosis and hypertension.","Неудивительно, что эндотелиальные клетки играют ключевую роль в поддержании сосудистого гомеостаза, а многие сосудистые заболевания возникают из-за эндотелиальной дисфункции, включая атеросклероз и гипертензию.",Cardiology
62,Nitric Oxide Furchgott and Zawadzki34 first described an endothelium-derived relaxing factor (EDRF) in the context of a dilatory response in aortic rings in response to acetylcholine; EDRF was subsequently determined to be nitric oxide (NO).35,"Оксид азота: Фурчготт и Завадзкий впервые описали эндотелиальный релаксирующий фактор в контексте дилатационного ответа колец аорты на ацетилхолин; впоследствии было установлено, что EDRF является оксидом азота (NO).",Cardiology
63,"The endothelium also serves as a barrier to the underlying vascular smooth muscle; dynamic regulation allows for selective exposure of the underlying vascular wall and smooth muscle cells to mitogenic, thrombotic, and vasoactive agents that have specific downstream effects.","Эндотелий также служит барьером для расположенной под ним гладкой мускулатуры сосудов; динамическая регуляция обеспечивает выборочное воздействие на сосудистую стенку и гладкомышечные клетки митогенных, тромбогенных и вазоактивных агентов.",Cardiology
64,Extracellular matrix (ECM) is a major component of the vascular wall.,Внеклеточный матрикс является основным компонентом сосудистой стенки.,Cardiology
65,"Neointimal formation occurs on the luminal side of the innermost aspect of the arterial elastic laminae, this being the intimal layer.","Неоинтимальное образование происходит со стороны просвета во внутреннейшей части артериальных эластических пластинок, которая и является интимальным слоем.",Cardiology
66,"Contraction and relaxation of the vascular wall is mediated by changes in medial VSMC tone, which as already mentioned can be affected by various signaling molecules, hormones, and other factors.","Сокращение и расслабление сосудистой стенки опосредуются изменениями тонуса гладкомышечных клеток медии, на который, как уже упоминалось, могут влиять различные сигнальные молекулы, гормоны и другие факторы.",Cardiology
67,Perhaps the most convincing data for the existence of resident vascular progenitor cells is from the adventitia.,"Возможно, наиболее убедительные данные о существовании резидентных сосудистых клеток-предшественников получены именно из адвентиции.",Cardiology
68,"Atherosclerosis develops over many years (1) and can lead to myocardial infarction (2), while the stress of acute myocardial infarction (2) also produces an “echo” in atherosclerotic plaques (1).","Атеросклероз развивается в течение многих лет и может привести к инфаркту миокарда, тогда как острый инфаркт миокарда также создаёт «эхо» в атеросклеротических бляшках.",Cardiology
69,"Angiogenesis (middle) is the most common form of de novo new vessel formation in the adult, which is the formation of new capillaries from preexisting vessels that can occur by the sprouting or splitting of these preexisting vessels by transcapillary pillars or posts of extracellular matrix and/or cells.",Ангиогенез является наиболее распространённой формой образования новых сосудов у взрослых и представляет собой формирование новых капилляров из уже существующих сосудов посредством их отпочковывания или расщепления.,Cardiology
70,"However, this process is especially important in atherosclerosis, with endothelial dysfunction being clinically detectable before the macroscopic presence of formed atherosclerotic plaques.","Однако этот процесс особенно важен при атеросклерозе, при котором эндотелиальная дисфункция может быть клинически выявлена ещё до макроскопического появления сформированных атеросклеротических бляшек.",Cardiology
71,"Cardiac precursors are found shortly after gastrulation (the formation of the three embryonic layers: ectoderm, endoderm, mesoderm) within the mesodermal component of the splanchnopleural layer of the anteriormost lateral plate (Fig. 8–1).2,6,7","Предшественники сердца обнаруживаются вскоре после гаструляции, то есть образования трёх зародышевых слоёв: эктодермы, энтодермы и мезодермы, в мезодермальном компоненте спланхноплеврального слоя передней части латеральной пластинки.",Cardiology
72,"After the primitive heart tube has formed (see Fig. 8–3), the SHF serves both as a reservoir of undifferentiated cardiac progenitors and as the source of new differentiating cardiomyocytes that will be added to both poles of the heart tube.","После формирования примитивной сердечной трубки второй сердечный карман служит резервуаром недифференцированных сердечных клеток-предшественников и источником новых дифференцирующихся кардиомиоцитов, которые добавляются к обоим полюсам сердечной трубки.",Cardiology
73,"During heart looping, the cardiac tube undergoes a dextral bending that positions the right ventricle primordium in its definitive position with respect to left ventricle (see Fig. 8–5).","Во время изгибания сердечной трубки она отклоняется вправо, что помещает зачаток правого желудочка в его окончательное положение относительно левого желудочка.",Cardiology
74,"After the primitive heart tube has formed (see Fig. 8–3), the SHF serves both as a reservoir of undifferentiated cardiac progenitors and as the source of new differentiating cardiomyocytes that will be added to both poles of the heart tube.","После формирования примитивной сердечной трубки второй сердечный карман служит резервуаром недифференцированных сердечных клеток-предшественников и источником новых дифференцирующихся кардиомиоцитов, которые добавляются к обоим полюсам сердечной трубки.",Cardiology
75,We will also discuss the progressive incorporation of second heart field precursors and the differentiation of the different cardiomyocyte subtypes.,Мы также обсудим постепенное включение предшественников второго сердечного поля и дифференцировку различных подтипов кардиомиоцитов.,Cardiology
76,"Interiorly, the primitive cardiac tube is lined by the endocardium, which is separated from the myocardium by a mass of cardiac jelly (see Fig. 8–2).","Изнутри примитивная сердечная трубка выстлана эндокардом, который отделён от миокарда массой сердечного студня.",Cardiology
77,"In the region of the AV canal, a third mesenchymal population derives, again by EMT, from the epicardium (see below).",В области атриовентрикулярного канала третья мезенхимальная популяция снова происходит посредством эпителиально-мезенхимного перехода из эпикарда.,Cardiology
78,"Ventricular septation is a relatively early and simple process, which is completed around the 7th week (E14.5 in the mouse).","Септация желудочков является относительно ранним и простым процессом, который завершается примерно к седьмой неделе, то есть к E14.5 у мыши.",Cardiology
79,Neural crest cells contribute to normal aorticopulmonary septation.,Клетки нервного гребня участвуют в нормальной аортолёгочной септации.,Cardiology
80,This gradient establishes the border between the cardiac and forelimb fields through the regulation of Hox transcription factors and promotes the atrial versus the ventricular fate.,Этот градиент устанавливает границу между сердечным и передне-конечностным полями посредством регуляции транскрипционных факторов Hox и способствует формированию предсердной или желудочковой судьбы.,Cardiology
81,A pipeline for interpretation of genetic variants is summarized in Fig. 9–3.45,Схема интерпретации генетических вариантов представлена на рис. 9–3.,Cardiology
82,"Clinical genetic workup includes comprehensive phenotype evaluation/deep phenotyping in probands, genetic counseling, pedigree generation, and clinical family screening.","Клиническое генетическое обследование включает всестороннюю оценку фенотипа или глубокое фенотипирование пробанда, генетическое консультирование, составление родословной и клинический семейный скрининг.",Cardiology
83,CMPs are myocardial disorders characterized by structurally and functionally abnormal heart muscle and absence of other diseases sufficient to cause the observed myocardial abnormality.,"Кардиомиопатии представляют собой заболевания миокарда, характеризующиеся структурно и функционально аномальной сердечной мышцей при отсутствии других заболеваний, достаточных для объяснения наблюдаемой аномалии миокарда.",Cardiology
84,"The proband (III:1) is a young lady demonstrating short stature (151 cm), with a long history of muscle ""weakness,"" renal failure, hypertrophic cardiomyopathy (HCM, which evolved through DCM), hearing loss, cryptogenic stroke, and optic neuritis.","Пробанд III:1 — молодая женщина невысокого роста (151 см) с длительной историей мышечной «слабости», почечной недостаточностью, гипертрофической кардиомиопатией (ГКМП, которая развилась в ДКМП), потерей слуха, криптогенным инсультом и невритом зрительного нерва.",Cardiology
85,The left side figure shows the most common disease genes for dilated cardiomyopathy; LMNA is one of the most common disease genes in dilated cardiomyopathy (DCM) (up to 7% of cases).,"На левой части рисунка показаны наиболее распространённые гены заболеваний при дилатационной кардиомиопатии; LMNA является одним из наиболее распространённых генов заболеваний при дилатационной кардиомиопатии, выявляясь до 7% случаев.",Cardiology
86,"The morphofunctional phenotypes DCM, HCM, restrictive cardiomyopathy (RCM), arrhythmogenic right, left and biventricular cardiomyopathy (ARC), and left ventricular noncompaction cardiomyopathy (LVNC) drive the currently used clinical classifications.","Морфофункциональные фенотипы ДКМП, ГКМП, рестриктивной кардиомиопатии, аритмогенной правожелудочковой, левожелудочковой и бивентрикулярной кардиомиопатии, а также некомпактности левого желудочка определяют используемые в настоящее время клинические классификации.",Cardiology
87,"These include gene-based agents, eg, mipomersen, approved in the United States for homozygous familial hypercholesterolemia; and Glybera, AAV1-LPLS447X gene therapy, conditionally approved in Europe for lipoprotein lipase deficiency286 in carriers of null LDLR mutations who are at increased risk, even in the setting of early diagnosis and regular lipid-lowering treatments.","К ним относятся препараты, основанные на генах, например мипомерсен, одобренный в США для гомозиготной семейной гиперхолестеринемии, а также Glybera, генная терапия AAV1-LPLS447X, условно одобренная в Европе при дефиците липопротеинлипазы у носителей нулевых мутаций LDLR, имеющих повышенный риск даже при ранней диагностике и регулярной липидснижающей терапии.",Cardiology
88,The segregation analysis of the genotype with phenotype can be complicated by incomplete penetrance because affected members of the same family may not show the phenotype at time of screening; regular clinical monitoring should be scheduled for clinically unaffected but genetically affected family members.,"Анализ сегрегации генотипа с фенотипом может быть осложнён неполной пенетрантностью, поскольку поражённые члены одной семьи могут не проявлять фенотип на момент скрининга; для клинически здоровых, но генетически поражённых членов семьи следует планировать регулярное клиническое наблюдение.",Cardiology
89,The proband (I:1) manifested severe DCM phenotype at the age of 35 years.,У пробанда I:1 тяжёлый фенотип дилатационной кардиомиопатии проявился в возрасте 35 лет.,Cardiology
90,"Today, genetic tests are routinely performed using next-generation sequencing (NGS) of multiple genes; Sanger sequencing is used for confirmation of the mutation identified by NGS and for cascade genetic testing in relatives.","Сегодня генетические тесты обычно выполняются с использованием секвенирования следующего поколения нескольких генов; секвенирование по Сэнгеру используется для подтверждения мутации, выявленной методом NGS, и для каскадного генетического тестирования родственников.",Cardiology
91,"To date, no stem cell therapy is approved by the Food and Drug Administration for a cardiovascular indication, but the growing body of literature provides a promising signal to encourage multiple Phase III clinical trials.","На сегодняшний день ни одна терапия стволовыми клетками не одобрена Управлением по санитарному надзору за качеством пищевых продуктов и медикаментов для сердечно-сосудистых показаний, однако растущий объём литературы даёт обнадёживающий сигнал для проведения нескольких клинических исследований III фазы.",Cardiology
92,"Directed homing of bone marrow–derived stem cells after myocardial injury produced functional improvements in animal studies,1,2 leading to the hypothesis that enhancing mobilization of bone marrow stem cells or their direct delivery can result in clinical improvement in acute or chronic cardiac injury.","Направленное приживление происходящих из костного мозга стволовых клеток после повреждения миокарда приводило к функциональным улучшениям в исследованиях на животных, что привело к гипотезе о том, что усиление мобилизации стволовых клеток костного мозга или их прямое введение может улучшить состояние при остром или хроническом повреждении сердца.",Cardiology
93,"Although pluripotent stem cells (PSCs), such as embryonic stem cells (ESCs) or induced pluripotent stem cells (iPSCs) have a robust potential to differentiate into cardiomyocytes, the differentiation capacity of other stem cell lines is more limited.","Хотя плюрипотентные стволовые клетки, такие как эмбриональные стволовые клетки или индуцированные плюрипотентные стволовые клетки, обладают высокой способностью дифференцироваться в кардиомиоциты, способность к дифференцировке других линий стволовых клеток более ограничена.",Cardiology
94,"First isolated in 1998, human ESCs are PSCs that exist in the inner cell mass of early stage dividing embryo (blastocyst).","Впервые выделенные в 1998 году человеческие эмбриональные стволовые клетки являются плюрипотентными клетками, существующими во внутренней клеточной массе раннего делящегося эмбриона, то есть бластоцисты.",Cardiology
95,"The reprogramming can be driven by viruses, plasmids, microRNA, or proteins.186 By inducing the adult cells to express major markers of pluripotency, iPSCs take on a phenotype very close to ESCs and are capable of differentiating into all three germ layers and subsequent stem cell types.","Перепрограммирование может осуществляться с помощью вирусов, плазмид, микроРНК или белков. Индуцируя в взрослых клетках экспрессию основных маркеров плюрипотентности, иПСК приобретают фенотип, очень близкий к ЭСК, и способны дифференцироваться во все три зародышевых листка и последующие типы стволовых клеток.",Cardiology
96,"MSCs have the added advantage of homing to injured myocardial tissue, which facilitates intravenous administration.","МСК имеют дополнительное преимущество в виде способности направляться к повреждённой ткани миокарда, что облегчает внутривенное введение.",Cardiology
97,The trials largely targeted patients with ST elevation MI and treated them with intracoronary infusion of BMMNCs.,"В исследованиях в основном участвовали пациенты с инфарктом миокарда с подъёмом сегмента ST, которым выполняли внутрикоронарное введение мононуклеарных клеток костного мозга.",Cardiology
98,Adult cardiac stem cells are multipotent and support myocardial regeneration.,Взрослые сердечные стволовые клетки являются мультипотентными и поддерживают регенерацию миокарда.,Cardiology
99,"Whether the beneficial effects of cardiac progenitor cells occur because of cardiomyocyte differentiation, angiogenesis, or paracrine effects is not fully understood, and these potential mechanisms are under investigation.","Полностью не установлено, обусловлены ли благоприятные эффекты сердечных клеток-предшественников дифференцировкой кардиомиоцитов, ангиогенезом или паракринными эффектами; эти потенциальные механизмы изучаются.",Cardiology
100,Allogeneic transplantation has the advantage of having the cell therapy population ready in advance for clinical use so called “off the shelf” delivery.,"Аллогенная трансплантация имеет преимущество, заключающееся в том, что популяция клеток для клеточной терапии заранее готова к клиническому применению, то есть может предоставляться «с полки».",Cardiology
